line	raw_symbol	demangled
282104	Lutf8_widthindex	Lutf8_widthindex
282403	Lutf8_width	Lutf8_width
282858	Lutf8_len	Lutf8_len
282985	Lutf8_gsub	Lutf8_gsub
283798	find_aux	find_aux
284392	Lutf8_match	Lutf8_match
284405	Lutf8_find	Lutf8_find
284419	luaopen_utf8	luaopen_utf8
284460	_Z34ix86_override_options_after_changev_32	ix86_override_options_after_change()
284483	_Z14steam_newindexP9lua_State	steam_newindex(lua_State*)
284499	_Z14steam_gamelangP9lua_State	steam_gamelang(lua_State*)
284539	_Z23steam_activateActionSetP9lua_State	steam_activateActionSet(lua_State*)
284657	_Z15galaxy_gamelangP9lua_State	galaxy_gamelang(lua_State*)
284719	_Z19galaxy_dlcInstalledP9lua_State	galaxy_dlcInstalled(lua_State*)
284819	_Z22steam_showBindingPanelP9lua_State	steam_showBindingPanel(lua_State*)
284904	_Z26steam_getDigitalActionDataP9lua_State	steam_getDigitalActionData(lua_State*)
285033	_Z18steam_dlcInstalledP9lua_State	steam_dlcInstalled(lua_State*)
285110	_Z22steam_hasLicenseForAppP9lua_State	steam_hasLicenseForApp(lua_State*)
285192	_Z34steam_getGamepadIndexForControllerP9lua_State	steam_getGamepadIndexForController(lua_State*)
285277	_Z29steam_getDigitalActionOriginsP9lua_State	steam_getDigitalActionOrigins(lua_State*)
285475	_Z28steam_getAnalogActionOriginsP9lua_State	steam_getAnalogActionOrigins(lua_State*)
285673	_Z19steam_getMotionDataP9lua_State	steam_getMotionData(lua_State*)
285788	_Z25steam_getAnalogActionDataP9lua_State	steam_getAnalogActionData(lua_State*)
285945	_Z30steam_getStringForActionOriginP9lua_State	steam_getStringForActionOrigin(lua_State*)
285996	_Z29steam_getGlyphForActionOriginP9lua_State	steam_getGlyphForActionOrigin(lua_State*)
286047	_Z34steam_getControllerForGamepadIndexP9lua_State	steam_getControllerForGamepadIndex(lua_State*)
286098	_Z15system_newindexP9lua_State	system_newindex(lua_State*)
286245	_Z22system_resumeAllSoundsP9lua_State	system_resumeAllSounds(lua_State*)
286288	_Z28system_resumeBackgroundMusicP9lua_State	system_resumeBackgroundMusic(lua_State*)
286313	_Z21system_pauseAllSoundsP9lua_State	system_pauseAllSounds(lua_State*)
286356	_Z27system_pauseBackgroundMusicP9lua_State	system_pauseBackgroundMusic(lua_State*)
286381	_Z26system_resumeAllAnimationsP9lua_State	system_resumeAllAnimations(lua_State*)
286416	_Z29system_pauseCurrentAnimationsP9lua_State	system_pauseCurrentAnimations(lua_State*)
286451	_Z23system_resumeAllActionsP9lua_State	system_resumeAllActions(lua_State*)
286486	_Z26system_pauseCurrentActionsP9lua_State	system_pauseCurrentActions(lua_State*)
286522	_Z22system_controllercountP9lua_State	system_controllercount(lua_State*)
286573	_Z21system_controllernameP9lua_State	system_controllername(lua_State*)
286649	_Z23system_controllerisgameP9lua_State	system_controllerisgame(lua_State*)
286676	_Z21system_controllerguidP9lua_State	system_controllerguid(lua_State*)
286753	_Z20system_joystickcountP9lua_State	system_joystickcount(lua_State*)
286777	_Z17system_systemInfoP9lua_State	system_systemInfo(lua_State*)
286859	_Z20steam_getControllersP9lua_State	steam_getControllers(lua_State*)
287051	_Z22system_getDisplayModesP9lua_State	system_getDisplayModes(lua_State*)
287269	_Z11steam_indexP9lua_State	steam_index(lua_State*)
287477	_Z25steam_getCurrentActionSetP9lua_State	steam_getCurrentActionSet(lua_State*)
287677	_Z28steam_getDigitalActionHandleP9lua_State	steam_getDigitalActionHandle(lua_State*)
287844	_Z27steam_getAnalogActionHandleP9lua_State	steam_getAnalogActionHandle(lua_State*)
288011	_Z24steam_getActionSetHandleP9lua_State	steam_getActionSetHandle(lua_State*)
288178	_Z12system_indexP9lua_State	system_index(lua_State*)
288624	_Z8LuaTracev	LuaTrace()
288692	_Z11parseUInt64PKc	parseUInt64(char const*)
289115	_GLOBAL__sub_I__Z8LuaTracev	_GLOBAL__sub_I__Z8LuaTracev
388720	_Z10luaopen_b2P9lua_State	luaopen_b2(lua_State*)
388766	_Z34ix86_override_options_after_changev_33	ix86_override_options_after_change()
398250	_Z24CmdStartAction_GetSyntaxR10TArgSyntax	CmdStartAction_GetSyntax(TArgSyntax&)
398367	_Z23CmdStopAction_GetSyntaxR10TArgSyntax	CmdStopAction_GetSyntax(TArgSyntax&)
398480	_Z27CmdStartAnimation_GetSyntaxR10TArgSyntax	CmdStartAnimation_GetSyntax(TArgSyntax&)
398605	_Z26CmdStopAnimation_GetSyntaxR10TArgSyntax	CmdStopAnimation_GetSyntax(TArgSyntax&)
398718	_Z22CmdGetVolume_GetSyntaxR10TArgSyntax	CmdGetVolume_GetSyntax(TArgSyntax&)
398839	_Z22CmdSetVolume_GetSyntaxR10TArgSyntax	CmdSetVolume_GetSyntax(TArgSyntax&)
398956	_Z25CmdGetCursorPos_GetSyntaxR10TArgSyntax	CmdGetCursorPos_GetSyntax(TArgSyntax&)
399096	_Z25CmdSetCursorPos_GetSyntaxR10TArgSyntax	CmdSetCursorPos_GetSyntax(TArgSyntax&)
399244	_Z29CmdCreateScreenshot_GetSyntaxR10TArgSyntax	CmdCreateScreenshot_GetSyntax(TArgSyntax&)
399908	_Z33CmdRegisterEventHandler_GetSyntaxR10TArgSyntax	CmdRegisterEventHandler_GetSyntax(TArgSyntax&)
400077	_Z35CmdUnregisterEventHandler_GetSyntaxR10TArgSyntax	CmdUnregisterEventHandler_GetSyntax(TArgSyntax&)
400229	_Z33CmdRegisterHookFunction_GetSyntaxR10TArgSyntax	CmdRegisterHookFunction_GetSyntax(TArgSyntax&)
400350	_Z27CmdInitGameClient_GetSyntaxR10TArgSyntax	CmdInitGameClient_GetSyntax(TArgSyntax&)
400502	_Z30CmdGetGameClientStat_GetSyntaxR10TArgSyntax	CmdGetGameClientStat_GetSyntax(TArgSyntax&)
400646	_Z30CmdSetGameClientStat_GetSyntaxR10TArgSyntax	CmdSetGameClientStat_GetSyntax(TArgSyntax&)
400798	_Z33CmdResetGameClientStats_GetSyntaxR10TArgSyntax	CmdResetGameClientStats_GetSyntax(TArgSyntax&)
400943	_Z37CmdGetGameClientAchievement_GetSyntaxR10TArgSyntax	CmdGetGameClientAchievement_GetSyntax(TArgSyntax&)
401087	_Z37CmdSetGameClientAchievement_GetSyntaxR10TArgSyntax	CmdSetGameClientAchievement_GetSyntax(TArgSyntax&)
401329	_Z32CmdStartDefaultBrowser_GetSyntaxR10TArgSyntax	CmdStartDefaultBrowser_GetSyntax(TArgSyntax&)
401477	_Z24CmdGetProperty_GetSyntaxR10TArgSyntax	CmdGetProperty_GetSyntax(TArgSyntax&)
401646	_Z23CmdStartSound_GetSyntaxR10TArgSyntax	CmdStartSound_GetSyntax(TArgSyntax&)
402185	_Z22CmdStopSound_GetSyntaxR10TArgSyntax	CmdStopSound_GetSyntax(TArgSyntax&)
402333	_Z23CmdGetSoundId_GetSyntaxR10TArgSyntax	CmdGetSoundId_GetSyntax(TArgSyntax&)
402481	_Z29CmdGetSoundProperty_GetSyntaxR10TArgSyntax	CmdGetSoundProperty_GetSyntax(TArgSyntax&)
402637	_Z29CmdSetSoundProperty_GetSyntaxR10TArgSyntax	CmdSetSoundProperty_GetSyntax(TArgSyntax&)
403171	_Z29CmdToggleSoundPause_GetSyntaxR10TArgSyntax	CmdToggleSoundPause_GetSyntax(TArgSyntax&)
403319	_Z27CmdSetWindowTitle_GetSyntaxR10TArgSyntax	CmdSetWindowTitle_GetSyntax(TArgSyntax&)
403467	_Z32CmdGetWindowBrightness_GetSyntaxR10TArgSyntax	CmdGetWindowBrightness_GetSyntax(TArgSyntax&)
403599	_Z32CmdSetWindowBrightness_GetSyntaxR10TArgSyntax	CmdSetWindowBrightness_GetSyntax(TArgSyntax&)
403743	_Z24CmdReplaceGame_GetSyntaxR10TArgSyntax	CmdReplaceGame_GetSyntax(TArgSyntax&)
403887	_Z23CmdStartTween_GetSyntaxR10TArgSyntax	CmdStartTween_GetSyntax(TArgSyntax&)
404087	_Z29CmdStartObjectTween_GetSyntaxR10TArgSyntax	CmdStartObjectTween_GetSyntax(TArgSyntax&)
404287	_Z26CmdShaderCompile_GetSyntaxR10TArgSyntax	CmdShaderCompile_GetSyntax(TArgSyntax&)
404439	_Z29CmdShaderSetOptions_GetSyntaxR10TArgSyntax	CmdShaderSetOptions_GetSyntax(TArgSyntax&)
404595	_Z14CompositeEnumsi	CompositeEnums(int)
404616	_Z26CmdShaderUniform_GetSyntaxR10TArgSyntax	CmdShaderUniform_GetSyntax(TArgSyntax&)
404777	_Z33CmdIsPointInsidePolygon_GetSyntaxR10TArgSyntax	CmdIsPointInsidePolygon_GetSyntax(TArgSyntax&)
404929	_Z29CmdToggleWindowMode_GetSyntaxR10TArgSyntax	CmdToggleWindowMode_GetSyntax(TArgSyntax&)
405066	_Z26CmdGetWindowMode_GetSyntaxR10TArgSyntax	CmdGetWindowMode_GetSyntax(TArgSyntax&)
405198	_Z26CmdSetWindowSize_GetSyntaxR10TArgSyntax	CmdSetWindowSize_GetSyntax(TArgSyntax&)
405342	_Z30CmdStartHapticRumble_GetSyntaxR10TArgSyntax	CmdStartHapticRumble_GetSyntax(TArgSyntax&)
405498	_Z29CmdStopHapticRumble_GetSyntaxR10TArgSyntax	CmdStopHapticRumble_GetSyntax(TArgSyntax&)
405638	_Z30CmdStartHapticEffect_GetSyntaxR10TArgSyntax	CmdStartHapticEffect_GetSyntax(TArgSyntax&)
405786	_Z29CmdStopHapticEffect_GetSyntaxR10TArgSyntax	CmdStopHapticEffect_GetSyntax(TArgSyntax&)
405934	_Z39CmdCreateHapticEffectConstant_GetSyntaxR10TArgSyntax	CmdCreateHapticEffectConstant_GetSyntax(TArgSyntax&)
406170	_Z39CmdCreateHapticEffectPeriodic_GetSyntaxR10TArgSyntax	CmdCreateHapticEffectPeriodic_GetSyntax(TArgSyntax&)
406430	_Z40CmdCreateHapticEffectCondition_GetSyntaxR10TArgSyntax	CmdCreateHapticEffectCondition_GetSyntax(TArgSyntax&)
406642	_Z35CmdCreateHapticEffectRamp_GetSyntaxR10TArgSyntax	CmdCreateHapticEffectRamp_GetSyntax(TArgSyntax&)
406887	_Z40CmdCreateHapticEffectLeftRight_GetSyntaxR10TArgSyntax	CmdCreateHapticEffectLeftRight_GetSyntax(TArgSyntax&)
407059	_Z24CmdCreateEvent_GetSyntaxR10TArgSyntax	CmdCreateEvent_GetSyntax(TArgSyntax&)
407231	_Z19ClosePlayerCommandsv	ClosePlayerCommands()
408978	_Z11CmdVisObjToP9lua_State	CmdVisObjTo(lua_State*)
420914	_Z23Register_CmdCreateEventv	Register_CmdCreateEvent()
420998	_Z39Register_CmdCreateHapticEffectLeftRightv	Register_CmdCreateHapticEffectLeftRight()
421083	_Z34Register_CmdCreateHapticEffectRampv	Register_CmdCreateHapticEffectRamp()
421168	_Z39Register_CmdCreateHapticEffectConditionv	Register_CmdCreateHapticEffectCondition()
421253	_Z38Register_CmdCreateHapticEffectPeriodicv	Register_CmdCreateHapticEffectPeriodic()
421338	_Z38Register_CmdCreateHapticEffectConstantv	Register_CmdCreateHapticEffectConstant()
421423	_Z28Register_CmdStopHapticEffectv	Register_CmdStopHapticEffect()
421508	_Z29Register_CmdStartHapticEffectv	Register_CmdStartHapticEffect()
421593	_Z28Register_CmdStopHapticRumblev	Register_CmdStopHapticRumble()
421678	_Z29Register_CmdStartHapticRumblev	Register_CmdStartHapticRumble()
421763	_Z25Register_CmdSetWindowSizev	Register_CmdSetWindowSize()
421848	_Z25Register_CmdGetWindowModev	Register_CmdGetWindowMode()
421933	_Z28Register_CmdToggleWindowModev	Register_CmdToggleWindowMode()
422018	_Z32Register_CmdIsPointInsidePolygonv	Register_CmdIsPointInsidePolygon()
422103	_Z28Register_CmdShaderSetOptionsv	Register_CmdShaderSetOptions()
422188	_Z25Register_CmdShaderUniformv	Register_CmdShaderUniform()
422273	_Z25Register_CmdShaderCompilev	Register_CmdShaderCompile()
