line	raw_symbol	status	owner	member	demangled
110772	_ZL42arabic_fallback_synthesize_lookup_ligaturePK18hb_ot_shape_plan_tP9hb_font_t_isra_47	todo	(free function)	arabic_fallback_synthesize_lookup_ligature	arabic_fallback_synthesize_lookup_ligature(hb_ot_shape_plan_t const*, hb_font_t*)
111203	_Z4CrapIN8hb_set_t6page_tEERT_v_0	todo	(free function)	Crap<hb_set_t::page_t>	hb_set_t::page_t& Crap<hb_set_t::page_t>()
111221	_Z4CrapIN8hb_set_t6page_tEERT_v_1	todo	(free function)	Crap<hb_set_t::page_t>	hb_set_t::page_t& Crap<hb_set_t::page_t>()
111290	_ZL14apply_backwardPN2OT21hb_ot_apply_context_tERK33hb_ot_layout_lookup_accelerator_tRK9hb_auto_tI11hb_vector_tIN26hb_get_subtables_context_t15hb_applicable_tELj8EEE	todo	(free function)	apply_backward	apply_backward(OT::hb_ot_apply_context_t*, hb_ot_layout_lookup_accelerator_t const&, hb_auto_t<hb_vector_t<hb_get_subtables_context_t::hb_applicable_t, 8u> > const&)
111476	_ZNK18ExceptionSwallowerI8aiReturnEclEv_isra_10	todo	ExceptionSwallower<aiReturn>	operator	ExceptionSwallower<aiReturn>::operator()() const
112304	err_syntax	todo	(free function)	err_syntax	err_syntax
112320	err_limit_isra_26	todo	(free function)	err_limit_isra_26	err_limit_isra_26
112348	strscan_double	todo	(free function)	strscan_double	strscan_double
112404	strscan_dec	todo	(free function)	strscan_dec	strscan_dec
112945	mcode_protfail	todo	(free function)	mcode_protfail	mcode_protfail
112984	cconv_err_initov_isra_6	todo	(free function)	cconv_err_initov_isra_6	cconv_err_initov_isra_6
113008	clib_error_	todo	(free function)	clib_error_	clib_error_
113114	expect100	todo	(free function)	expect100	expect100
113177	setup_range	todo	(free function)	setup_range	setup_range
113239	fix_hostname_isra_4	todo	(free function)	fix_hostname_isra_4	fix_hostname_isra_4
113288	IsPipeliningPossible_isra_5	todo	(free function)	IsPipeliningPossible_isra_5	IsPipeliningPossible_isra_5
113343	start	todo	(free function)	start	start
113365	call_gmon_start	todo	(free function)	call_gmon_start	call_gmon_start
113384	deregister_tm_clones	todo	(free function)	deregister_tm_clones	deregister_tm_clones
113413	register_tm_clones	todo	(free function)	register_tm_clones	register_tm_clones
113447	__do_global_dtors_aux	todo	(free function)	__do_global_dtors_aux	__do_global_dtors_aux
113467	frame_dummy	todo	(free function)	frame_dummy	frame_dummy
113495	_ZN8THObjectD2Ev	todo	THObject	~THObject	THObject::~THObject()
113580	_ZN8THObjectD0Ev	todo	THObject	~THObject	THObject::~THObject()
113667	_ZN8THObject18RegisterConditionsER10TVisObjRefR6TVList	todo	THObject	RegisterConditions	THObject::RegisterConditions(TVisObjRef&, TVList&)
114213	_ZN8THObject7OnEventE10TEventEnumiP17TVisionaireObject	todo	THObject	OnEvent	THObject::OnEvent(TEventEnum, int, TVisionaireObject*)
114600	_ZThn800_N8THObject7OnEventE10TEventEnumiP17TVisionaireObject	todo	THObject	OnEvent	non-virtual thunk to THObject::OnEvent(TEventEnum, int, TVisionaireObject*)
114617	_ZN8THObjectC2ERK10TVisObjRef	todo	THObject	THObject	THObject::THObject(TVisObjRef const&)
114721	_ZN8THObject20UnRegisterConditionsEv	todo	THObject	UnRegisterConditions	THObject::UnRegisterConditions()
114803	_Z34ix86_override_options_after_changev	todo	(free function)	ix86_override_options_after_change	ix86_override_options_after_change()
114826	_ZN13TGPlaceHolderD2Ev	todo	TGPlaceHolder	~TGPlaceHolder	TGPlaceHolder::~TGPlaceHolder()
114844	_ZN13TGPlaceHolderD0Ev	todo	TGPlaceHolder	~TGPlaceHolder	TGPlaceHolder::~TGPlaceHolder()
114867	_ZN13TGPlaceHolderC2ERK10TVisObjRefP11TGInterface	todo	TGPlaceHolder	TGPlaceHolder	TGPlaceHolder::TGPlaceHolder(TVisObjRef const&, TGInterface*)
114890	_ZN14TManagedObject18DrawSnoopAnimationEv	todo	TManagedObject	DrawSnoopAnimation	TManagedObject::DrawSnoopAnimation()
114906	_Z34ix86_override_options_after_changev_0	todo	(free function)	ix86_override_options_after_change	ix86_override_options_after_change()
114929	_ZN8THButtonD2Ev	todo	THButton	~THButton	THButton::~THButton()
115014	_ZN8THButtonD0Ev	todo	THButton	~THButton	THButton::~THButton()
115101	_ZN8THButton18RegisterConditionsER10TVisObjRefR6TVList	todo	THButton	RegisterConditions	THButton::RegisterConditions(TVisObjRef&, TVList&)
115647	_ZN8THButton7OnEventE10TEventEnumiP17TVisionaireObject	todo	THButton	OnEvent	THButton::OnEvent(TEventEnum, int, TVisionaireObject*)
115884	_ZThn648_N8THButton7OnEventE10TEventEnumiP17TVisionaireObject	todo	THButton	OnEvent	non-virtual thunk to THButton::OnEvent(TEventEnum, int, TVisionaireObject*)
115901	_ZN8THButtonC2ERK10TVisObjRefP11TGInterface	todo	THButton	THButton	THButton::THButton(TVisObjRef const&, TGInterface*)
116008	_ZN8THButton20UnRegisterConditionsEv	todo	THButton	UnRegisterConditions	THButton::UnRegisterConditions()
116049	_Z34ix86_override_options_after_changev_1	todo	(free function)	ix86_override_options_after_change	ix86_override_options_after_change()
116072	_ZN8TMObject8SetAlphaEv	todo	TMObject	SetAlpha	TMObject::SetAlpha()
116093	_ZNK8TMObject13GetActionListER6TVList	todo	TMObject	GetActionList	TMObject::GetActionList(TVList&) const
116112	_ZN8TMObject9SetActiveEb	todo	TMObject	SetActive	TMObject::SetActive(bool)
116275	_ZN8TMObjectD2Ev	todo	TMObject	~TMObject	TMObject::~TMObject()
116315	_ZNK8TMObject15GetLanguageNameEv	todo	TMObject	GetLanguageName	TMObject::GetLanguageName() const
116382	_ZN8TMObjectD0Ev	todo	TMObject	~TMObject	TMObject::~TMObject()
116424	_ZN8TMObjectC2ERK10TVisObjRefb	todo	TMObject	TMObject	TMObject::TMObject(TVisObjRef const&, bool)
116572	_Z34ix86_override_options_after_changev_2	todo	(free function)	ix86_override_options_after_change	ix86_override_options_after_change()
116593	sendraw	todo	(free function)	sendraw	sendraw
116670	_Z10HashStringIcEmPKT_	todo	(free function)	HashString<char>	unsigned long HashString<char>(char const*)
117671	recvraw	todo	(free function)	recvraw	recvraw
119586	_Z10SampleTimeR8timespec	todo	(free function)	SampleTime	SampleTime(timespec&)
119602	_Z10Difference8timespec	todo	(free function)	Difference	Difference(timespec)
119631	_Z12LuaDebugNamePKc	todo	(free function)	LuaDebugName	LuaDebugName(char const*)
119647	_Z12SortSubnodesP13CallstackData	todo	(free function)	SortSubnodes	SortSubnodes(CallstackData*)
119981	_Z13AddUpSubnodesP13CallstackData	todo	(free function)	AddUpSubnodes	AddUpSubnodes(CallstackData*)
120362	_Z12profileCleanv	todo	(free function)	profileClean	profileClean()
120400	_ZN17TCPDebuggerServerC2Ev	todo	TCPDebuggerServer	TCPDebuggerServer	TCPDebuggerServer::TCPDebuggerServer()
120439	_ZN17TCPDebuggerServerD2Ev	todo	TCPDebuggerServer	~TCPDebuggerServer	TCPDebuggerServer::~TCPDebuggerServer()
120478	_ZN17TCPDebuggerClientC2Ev	todo	TCPDebuggerClient	TCPDebuggerClient	TCPDebuggerClient::TCPDebuggerClient()
120534	_ZN17TCPDebuggerClient7ProfileEv	todo	TCPDebuggerClient	Profile	TCPDebuggerClient::Profile()
120558	_ZN17TCPDebuggerClient8PrintPosEv	todo	TCPDebuggerClient	PrintPos	TCPDebuggerClient::PrintPos()
120582	_ZN17TCPDebuggerClient7EndAreaENS_11ProfileAreaEi	todo	TCPDebuggerClient	EndArea	TCPDebuggerClient::EndArea(TCPDebuggerClient::ProfileArea, int)
120671	_Z14swapEndiannessRi	todo	(free function)	swapEndianness	swapEndianness(int&)
120693	_ZN17TCPDebuggerClient4SendEiPKcm	todo	TCPDebuggerClient	Send	TCPDebuggerClient::Send(int, char const*, unsigned long)
120785	_ZN17TCPDebuggerServer4BindEPKci	todo	TCPDebuggerServer	Bind	TCPDebuggerServer::Bind(char const*, int)
120877	_ZN17TCPDebuggerServer11GetClientIPEv	todo	TCPDebuggerServer	GetClientIP	TCPDebuggerServer::GetClientIP()
121018	_ZN17TCPDebuggerServer6UpdateEv	todo	TCPDebuggerServer	Update	TCPDebuggerServer::Update()
121153	_ZN17TCPDebuggerServer14GetNextMessageERSs	todo	TCPDebuggerServer	GetNextMessage	TCPDebuggerServer::GetNextMessage(std::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
122770	_ZN17TCPDebuggerClient6UpdateEv	todo	TCPDebuggerClient	Update	TCPDebuggerClient::Update()
122841	_ZN17TCPDebuggerClient14GetNextMessageERSs	todo	TCPDebuggerClient	GetNextMessage	TCPDebuggerClient::GetNextMessage(std::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
122979	_ZN17TCPDebuggerClient4SendEiSs	todo	TCPDebuggerClient	Send	TCPDebuggerClient::Send(int, std::basic_string<char, std::char_traits<char>, std::allocator<char> >)
123098	_ZN17TCPDebuggerClient4SendEi	todo	TCPDebuggerClient	Send	TCPDebuggerClient::Send(int)
123204	_ZN17TCPDebuggerServer4SendEiPKcm	todo	TCPDebuggerServer	Send	TCPDebuggerServer::Send(int, char const*, unsigned long)
123305	_ZN17TCPDebuggerServer4SendEiSs	todo	TCPDebuggerServer	Send	TCPDebuggerServer::Send(int, std::basic_string<char, std::char_traits<char>, std::allocator<char> >)
123408	_ZN17TCPDebuggerServer4SendEi	todo	TCPDebuggerServer	Send	TCPDebuggerServer::Send(int)
123502	_ZN17TCPDebuggerClient7ConnectEPKci	todo	TCPDebuggerClient	Connect	TCPDebuggerClient::Connect(char const*, int)
123638	_Z13PrintSubnodesP13CallstackDataRSs	todo	(free function)	PrintSubnodes	PrintSubnodes(CallstackData*, std::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
123887	_Z9serializeRSsRSt6vectorIP13ProfileResultSaIS2_EE	todo	(free function)	serialize	serialize(std::basic_string<char, std::char_traits<char>, std::allocator<char> >&, std::vector<ProfileResult*, std::allocator<ProfileResult*> >&)
124363	_Z9serializeRSsP13CallstackData	todo	(free function)	serialize	serialize(std::basic_string<char, std::char_traits<char>, std::allocator<char> >&, CallstackData*)
124954	_Z14SerizalizeTypeib_constprop_186	todo	(free function)	SerizalizeType	SerizalizeType(int, bool)
125479	_Z14SerizalizeTypeib	todo	(free function)	SerizalizeType	SerizalizeType(int, bool)
126029	_ZN17TCPDebuggerClient9BeginAreaENS_11ProfileAreaERKSsi	todo	TCPDebuggerClient	BeginArea	TCPDebuggerClient::BeginArea(TCPDebuggerClient::ProfileArea, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, int)
126189	_Z18collectProfileDatav	todo	(free function)	collectProfileData	collectProfileData()
127253	_ZN7HashMapIiSt6vectorIiSaIiEE11IntegerHashIiEEixERKi_constprop_191	todo	HashMap<int, std::vector<int, std::allocator<int> >, IntegerHash<int> >	operator[]	HashMap<int, std::vector<int, std::allocator<int> >, IntegerHash<int> >::operator[](int const&)
127363	_Z12debugTCPLoopP9lua_DebugPKc	todo	(free function)	debugTCPLoop	debugTCPLoop(lua_Debug*, char const*)
129833	_ZN17TCPDebuggerClient8ActivateEPKci	todo	TCPDebuggerClient	Activate	TCPDebuggerClient::Activate(char const*, int)
130392	_Z15mainloopTCPLoopv	todo	(free function)	mainloopTCPLoop	mainloopTCPLoop()
132226	_Z16serializeThreadsRSsRSt6vectorIP13ProfileResultSaIS2_EE	todo	(free function)	serializeThreads	serializeThreads(std::basic_string<char, std::char_traits<char>, std::allocator<char> >&, std::vector<ProfileResult*, std::allocator<ProfileResult*> >&)
132882	_ZN17TCPDebuggerClient9NextFrameEv	todo	TCPDebuggerClient	NextFrame	TCPDebuggerClient::NextFrame()
134244	_ZN7HashMapIii11IntegerHashIiEED2Ev	todo	HashMap<int, int, IntegerHash<int> >	~HashMap	HashMap<int, int, IntegerHash<int> >::~HashMap()
134316	_ZN7HashMapIiSt6vectorIiSaIiEE11IntegerHashIiEED2Ev	todo	HashMap<int, std::vector<int, std::allocator<int> >, IntegerHash<int> >	~HashMap	HashMap<int, std::vector<int, std::allocator<int> >, IntegerHash<int> >::~HashMap()
134513	_ZN11ProfileAreaD2Ev	todo	ProfileArea	~ProfileArea	ProfileArea::~ProfileArea()
134537	_ZN13ProfileResultD2Ev	todo	ProfileResult	~ProfileResult	ProfileResult::~ProfileResult()
134570	_ZN11ProfileAreaaSERKS_	todo	ProfileArea	operator=	ProfileArea::operator=(ProfileArea const&)
134622	_ZN8ExpanderIPKcED2Ev	todo	Expander<char const*>	~Expander	Expander<char const*>::~Expander()
134692	_ZN7HashMapIiSt6vectorIiSaIiEE11IntegerHashIiEEC2Ei	todo	HashMap<int, std::vector<int, std::allocator<int> >, IntegerHash<int> >	HashMap	HashMap<int, std::vector<int, std::allocator<int> >, IntegerHash<int> >::HashMap(int)
134794	_ZN7HashMapIii11IntegerHashIiEEC2Ei	todo	HashMap<int, int, IntegerHash<int> >	HashMap	HashMap<int, int, IntegerHash<int> >::HashMap(int)
134897	_ZN8ExpanderISsED2Ev	todo	Expander<std::basic_string<char, std::char_traits<char>, std::allocator<char> > >	~Expander	Expander<std::basic_string<char, std::char_traits<char>, std::allocator<char> > >::~Expander()
135053	_ZN7HashMapIii11IntegerHashIiEEixERKi	todo	HashMap<int, int, IntegerHash<int> >	operator[]	HashMap<int, int, IntegerHash<int> >::operator[](int const&)
135459	_ZN7HashMapISsi10StringHashIPKcEEC2Ei	todo	HashMap<std::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, StringHash<char const*> >	HashMap	HashMap<std::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, StringHash<char const*> >::HashMap(int)
135561	_ZN7HashMapISsi10StringHashIPKcEED2Ev	todo	HashMap<std::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, StringHash<char const*> >	~HashMap	HashMap<std::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, StringHash<char const*> >::~HashMap()
135653	_ZN13StringHashMapISsiPKc10StringHashIS1_EED2Ev	todo	StringHashMap<std::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, char const*, StringHash<char const*> >	~StringHashMap	StringHashMap<std::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, char const*, StringHash<char const*> >::~StringHashMap()
135669	_ZN13hmap_iteratorIii11IntegerHashIiEEppEv	todo	hmap_iterator<int, int, IntegerHash<int> >	operator++	hmap_iterator<int, int, IntegerHash<int> >::operator++()
135743	_ZN8HashNodeISsi10StringHashIPKcEEC2ERKSsRKi	todo	HashNode<std::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, StringHash<char const*> >	HashNode	HashNode<std::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, StringHash<char const*> >::HashNode(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, int const&)
135776	_ZN13StringHashMapISsiPKc10StringHashIS1_EEixERKSs	todo	StringHashMap<std::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, char const*, StringHash<char const*> >	operator[]	StringHashMap<std::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, char const*, StringHash<char const*> >::operator[](std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
136783	_ZN8HashNodeIiSt6vectorIiSaIiEE11IntegerHashIiEEC2ERKiRKS2_	todo	HashNode<int, std::vector<int, std::allocator<int> >, IntegerHash<int> >	HashNode	HashNode<int, std::vector<int, std::allocator<int> >, IntegerHash<int> >::HashNode(int const&, std::vector<int, std::allocator<int> > const&)
137868	_GLOBAL__sub_I__Z10SampleTimeR8timespec	todo	(free function)	_GLOBAL__sub_I__Z10SampleTimeR8timespec	_GLOBAL__sub_I__Z10SampleTimeR8timespec
137965	_ZNK11TMCharacter9GetCenterEv	todo	TMCharacter	GetCenter	TMCharacter::GetCenter() const
137981	_ZNK11TMCharacter13GetActionListER6TVList	todo	TMCharacter	GetActionList	TMCharacter::GetActionList(TVList&) const
138000	_ZNK11TMCharacter12GetDirectionEv	todo	TMCharacter	GetDirection	TMCharacter::GetDirection() const
138018	_ZN11TMCharacter12SetAnimationEP11TGAnimation	todo	TMCharacter	SetAnimation	TMCharacter::SetAnimation(TGAnimation*)
138064	_ZN11TMCharacterD2Ev	todo	TMCharacter	~TMCharacter	TMCharacter::~TMCharacter()
138081	_ZNK11TMCharacter8IsInsideERK7wxPointRK12TGDetectInfo	todo	TMCharacter	IsInside	TMCharacter::IsInside(wxPoint const&, TGDetectInfo const&) const
138144	_ZNK11TMCharacter8IsInsideERK7wxPoint	todo	TMCharacter	IsInside	TMCharacter::IsInside(wxPoint const&) const
138400	_ZN11TMCharacterD0Ev	todo	TMCharacter	~TMCharacter	TMCharacter::~TMCharacter()
138422	_ZNK11TMCharacter15GetLanguageNameEv	todo	TMCharacter	GetLanguageName	TMCharacter::GetLanguageName() const
138489	_ZN11TMCharacterC2ERK10TVisObjRef	todo	TMCharacter	TMCharacter	TMCharacter::TMCharacter(TVisObjRef const&)
138513	_Z34ix86_override_options_after_changev_3	todo	(free function)	ix86_override_options_after_change	ix86_override_options_after_change()
138536	_ZN11TGInterface4DrawEv	todo	TGInterface	Draw	TGInterface::Draw()
138951	_ZN11TGInterface14RemoveAllItemsEv	todo	TGInterface	RemoveAllItems	TGInterface::RemoveAllItems()
138996	_ZN11TGInterface17InitActiveCommandEv	todo	TGInterface	InitActiveCommand	TGInterface::InitActiveCommand()
139195	_ZNK11TGInterface9GetObjectERK7wxPoint	todo	TGInterface	GetObject	TGInterface::GetObject(wxPoint const&) const
139404	_ZNK11TGInterface9GetObjectERK10TVisObjRef	todo	TGInterface	GetObject	TGInterface::GetObject(TVisObjRef const&) const
139532	_ZNK11TGInterface8IsInsideERK7wxPoint	todo	TGInterface	IsInside	TGInterface::IsInside(wxPoint const&) const
139698	_ZN11TGInterface10SetPolygonERKSt6vectorI7wxPointSaIS1_EE	todo	TGInterface	SetPolygon	TGInterface::SetPolygon(std::vector<wxPoint, std::allocator<wxPoint> > const&)
139738	_ZNK11TGInterface14GetPlaceHolderEPK14TManagedObject	todo	TGInterface	GetPlaceHolder	TGInterface::GetPlaceHolder(TManagedObject const*) const
139810	_ZN11TGInterface15StartAnimationsEv	todo	TGInterface	StartAnimations	TGInterface::StartAnimations()
139858	_ZN11TGInterface18ReattachAnimationsEv	todo	TGInterface	ReattachAnimations	TGInterface::ReattachAnimations()
139893	_ZN11TGInterface12SetDestAlphaEii	todo	TGInterface	SetDestAlpha	TGInterface::SetDestAlpha(int, int)
140019	_ZN11TGInterface11UpdateAlphaEv	todo	TGInterface	UpdateAlpha	TGInterface::UpdateAlpha()
140123	_ZNK11TGInterface12GetDestAlphaEv	todo	TGInterface	GetDestAlpha	TGInterface::GetDestAlpha() const
140141	_ZN11TGInterface26RemoveSpritesAndAnimationsEv	todo	TGInterface	RemoveSpritesAndAnimations	TGInterface::RemoveSpritesAndAnimations()
140195	_ZN11TGInterface17TestActiveObjectsEv	todo	TGInterface	TestActiveObjects	TGInterface::TestActiveObjects()
140398	_ZN11TGInterface16SetObjectsActiveEb	todo	TGInterface	SetObjectsActive	TGInterface::SetObjectsActive(bool)
140606	_ZN11TGInterface18UpdateActiveStatusEv	todo	TGInterface	UpdateActiveStatus	TGInterface::UpdateActiveStatus()
140682	_ZN11TGInterface16SetActiveCommandERK10TVisObjRefb	todo	TGInterface	SetActiveCommand	TGInterface::SetActiveCommand(TVisObjRef const&, bool)
140798	_ZN11TGInterface16GetActiveCommandEv	todo	TGInterface	GetActiveCommand	TGInterface::GetActiveCommand()
140830	_ZN11TGInterface4LoadEv	todo	TGInterface	Load	TGInterface::Load()
141155	_ZN11TGInterfaceD2Ev	todo	TGInterface	~TGInterface	TGInterface::~TGInterface()
141556	_ZN11TGInterfaceD0Ev	todo	TGInterface	~TGInterface	TGInterface::~TGInterface()
141576	_ZN11TGInterface11UpdateItemsERK6TVList	todo	TGInterface	UpdateItems	TGInterface::UpdateItems(TVList const&)
142053	_ZN11TGInterface4InitEv	todo	TGInterface	Init	TGInterface::Init()
143021	_ZN11TGInterfaceC2ERK10TVisObjRef	todo	TGInterface	TGInterface	TGInterface::TGInterface(TVisObjRef const&)
143284	_ZN13TPaintControl7PrepareEv	todo	TPaintControl	Prepare	TPaintControl::Prepare()
143397	_ZN7HashMapI3TIdi7TIdHashED2Ev	todo	HashMap<TId, int, TIdHash>	~HashMap	HashMap<TId, int, TIdHash>::~HashMap()
144139	_Z34ix86_override_options_after_changev_4	todo	(free function)	ix86_override_options_after_change	ix86_override_options_after_change()
144162	_ZN6THText7OnEventE10TEventEnumiP17TVisionaireObject	todo	THText	OnEvent	THText::OnEvent(TEventEnum, int, TVisionaireObject*)
144186	_ZThn160_N6THText7OnEventE10TEventEnumiP17TVisionaireObject	todo	THText	OnEvent	non-virtual thunk to THText::OnEvent(TEventEnum, int, TVisionaireObject*)
144203	_ZN6THTextD2Ev	todo	THText	~THText	THText::~THText()
144244	_ZN6THTextD0Ev	todo	THText	~THText	THText::~THText()
144287	_ZN6THTextC2ERK10TVisObjRefS2_	todo	THText	THText	THText::THText(TVisObjRef const&, TVisObjRef const&)
144330	_ZN6THTextC2ERK10TVisObjRefS2_P11TGCharacterS2_17TextAlignmentEnumS2_RK7wxPointbb	todo	THText	THText	THText::THText(TVisObjRef const&, TVisObjRef const&, TGCharacter*, TVisObjRef const&, TextAlignmentEnum, TVisObjRef const&, wxPoint const&, bool, bool)
144387	_Z34ix86_override_options_after_changev_5	todo	(free function)	ix86_override_options_after_change	ix86_override_options_after_change()
144410	_Z9getGPUMemv	todo	(free function)	getGPUMem	getGPUMem()
144468	_Z13getProcessMemv	todo	(free function)	getProcessMem	getProcessMem()
144484	_Z12GetTickCountv	todo	(free function)	GetTickCount	GetTickCount()
144499	_ZN11TDiagnostic14RemoveFromPartE8wxStringi	todo	TDiagnostic	RemoveFromPart	TDiagnostic::RemoveFromPart(wxString, int)
144566	_ZN11TDiagnostic6UpdateEv	todo	TDiagnostic	Update	TDiagnostic::Update()
144640	_ZN11TDiagnostic9FrameStatEim	todo	TDiagnostic	FrameStat	TDiagnostic::FrameStat(int, unsigned long)
144692	_ZN11TDiagnostic14BeginFrameStatEi	todo	TDiagnostic	BeginFrameStat	TDiagnostic::BeginFrameStat(int)
144716	_ZN11TDiagnostic12EndFrameStatEi	todo	TDiagnostic	EndFrameStat	TDiagnostic::EndFrameStat(int)
144774	_ZN11TDiagnostic17EndAddFixedRegionEv	todo	TDiagnostic	EndAddFixedRegion	TDiagnostic::EndAddFixedRegion()
145052	_ZN11TDiagnostic14AddFixedMemoryEi8wxString	todo	TDiagnostic	AddFixedMemory	TDiagnostic::AddFixedMemory(int, wxString)
145166	_ZN11TDiagnostic11DrawDiagramEv	todo	TDiagnostic	DrawDiagram	TDiagnostic::DrawDiagram()
147901	_ZN11TDiagnostic9AddToPartE8wxStringi	todo	TDiagnostic	AddToPart	TDiagnostic::AddToPart(wxString, int)
148059	_ZN11TDiagnostic14EndFixedRegionEv	todo	TDiagnostic	EndFixedRegion	TDiagnostic::EndFixedRegion()
148293	_ZN11TDiagnostic16BeginFixedRegionE8wxString	todo	TDiagnostic	BeginFixedRegion	TDiagnostic::BeginFixedRegion(wxString)
148405	_ZN4Geni10mslocale_tD2Ev	todo	Geni::mslocale_t	~mslocale_t	Geni::mslocale_t::~mslocale_t()
148744	_GLOBAL__sub_I_lastFrameTime	todo	(free function)	_GLOBAL__sub_I_lastFrameTime	_GLOBAL__sub_I_lastFrameTime
148778	_ZNK11TGAnimation22CanRemoveCurrentSpriteEv	todo	TGAnimation	CanRemoveCurrentSprite	TGAnimation::CanRemoveCurrentSprite() const
148837	_ZNK11TGAnimation18NextSpriteSelectedEv	todo	TGAnimation	NextSpriteSelected	TGAnimation::NextSpriteSelected() const
149433	_ZN11TGAnimation5StartEbf	todo	TGAnimation	Start	TGAnimation::Start(bool, float)
149503	_Z6FindIdRSt4listIP11TGAnimationSaIS1_EERK3TId	todo	(free function)	FindId	FindId(std::list<TGAnimation*, std::allocator<TGAnimation*> >&, TId const&)
149578	_Z9FindIdObjRSt4listIP11TGAnimationSaIS1_EERK3TId	todo	(free function)	FindIdObj	FindIdObj(std::list<TGAnimation*, std::allocator<TGAnimation*> >&, TId const&)
149631	_ZN11TGAnimation29NotifyOwnersAnimationFinishedEv	todo	TGAnimation	NotifyOwnersAnimationFinished	TGAnimation::NotifyOwnersAnimationFinished()
149671	_ZN11TGAnimation11DetachOwnerEP15TAnimationOwner	todo	TGAnimation	DetachOwner	TGAnimation::DetachOwner(TAnimationOwner*)
149739	_ZN11TGAnimation11SetParallaxEii	todo	TGAnimation	SetParallax	TGAnimation::SetParallax(int, int)
149784	_ZN11TGAnimation7PrepareEv	todo	TGAnimation	Prepare	TGAnimation::Prepare()
149811	_ZN11TGAnimation4DrawEfji	todo	TGAnimation	Draw	TGAnimation::Draw(float, unsigned int, int)
150133	_ZN11TGAnimation9DrawMixedEfjRKSt6vectorIPS_SaIS1_EE	todo	TGAnimation	DrawMixed	TGAnimation::DrawMixed(float, unsigned int, std::vector<TGAnimation*, std::allocator<TGAnimation*> > const&)
150237	_ZN11TGAnimation16DrawWithLightMapEfPvi	todo	TGAnimation	DrawWithLightMap	TGAnimation::DrawWithLightMap(float, void*, int)
