owner	status	method_count	first_line	last_line
jpgd::DCT_Upsample::P_Q<2, 2>	todo	1	741699	741699
jpgd::DCT_Upsample::R_S<2, 2>	todo	1	741811	741811
jpgd::DCT_Upsample::P_Q<3, 2>	todo	1	741905	741905
jpgd::DCT_Upsample::R_S<3, 2>	todo	1	742029	742029
jpgd::DCT_Upsample::P_Q<3, 3>	todo	1	742133	742133
jpgd::DCT_Upsample::R_S<3, 3>	todo	1	742257	742257
jpgd::DCT_Upsample::P_Q<3, 4>	todo	1	742383	742383
jpgd::DCT_Upsample::R_S<3, 4>	todo	1	742519	742519
jpgd::DCT_Upsample::P_Q<4, 4>	todo	1	742656	742656
jpgd::DCT_Upsample::R_S<4, 4>	todo	1	742842	742842
jpgd::DCT_Upsample::P_Q<5, 4>	todo	1	743008	743008
jpgd::DCT_Upsample::R_S<5, 4>	todo	1	743208	743208
jpgd::DCT_Upsample::P_Q<5, 5>	todo	1	743404	743404
jpgd::DCT_Upsample::R_S<5, 5>	todo	1	743647	743647
jpgd::DCT_Upsample::P_Q<5, 6>	todo	1	743843	743843
jpgd::DCT_Upsample::R_S<5, 6>	todo	1	744130	744130
jpgd::DCT_Upsample::P_Q<6, 6>	todo	1	744370	744370
jpgd::DCT_Upsample::R_S<6, 6>	todo	1	744738	744738
jpgd::DCT_Upsample::P_Q<7, 6>	todo	1	745040	745040
jpgd::DCT_Upsample::R_S<7, 6>	todo	1	745445	745445
jpgd::DCT_Upsample::P_Q<7, 7>	todo	1	745785	745785
jpgd::DCT_Upsample::R_S<7, 7>	todo	1	746190	746190
jpgd::DCT_Upsample::P_Q<7, 8>	todo	1	746566	746566
jpgd::DCT_Upsample::R_S<7, 8>	todo	1	747029	747029
jpgd::DCT_Upsample::P_Q<8, 8>	todo	1	747465	747465
jpgd::DCT_Upsample::R_S<8, 8>	todo	1	748024	748024
TSpriteCache	todo	13	749371	751855
TPicturePNG	todo	10	753445	756750
TPictureMEM	todo	22	756823	759239
TPictureWebP	todo	9	759351	761648
